cik,name,core_name,matches
92344,7 Eleven Inc,7 Eleven,Eleven
1884072,Adamas One Corp.,Adamas One,One
1286459,All For One Media Corp.,All For One Media,One
1191813,Apple Hospitality Five Inc,Apple Hospitality Five,Five
1132747,Apple Hospitality Two Inc,Apple Hospitality Two,Two
1387361,"Apple Reit Eight, Inc.","Apple Reit Eight,",Eight
1329011,"Apple Reit Seven, Inc.","Apple Reit Seven,",Seven
1277151,Apple Reit Six Inc,Apple Reit Six,Six
1498864,"Apple Reit Ten, Inc.","Apple Reit Ten,",Ten
1826397,Avax One Technology Ltd.,Avax One Technology,One
947427,Axs One Inc,Axs One,One
1067092,Bank One Corp,Bank One,One
36090,Bank One Corp /Oh/,Bank One Corp /Oh/,One
10242,Base Ten Systems Inc,Base Ten Systems,Ten
1709774,Billion Holding Inc.,Billion,Billion
1062431,Bio One Corp,Bio One,One
1411308,"Bonanza One, Inc.","Bonanza One,",One
891919,Books A Million Inc,Books A Million,Million
1046304,Building One Services Corp,Building One Services,One
1632127,"Cable One, Inc.","Cable One,",One
1294570,"Calgen Project Equipment Finance Co One, Llc","Calgen Project Equipment Finance Co One,",One
1294846,"Calgen Project Equipment Finance Co Three, Llc","Calgen Project Equipment Finance Co Three,",Three
1294488,"Calgen Project Equipment Finance Co Two, Llc","Calgen Project Equipment Finance Co Two,",Two
1107772,Capital Group One Inc,Capital Group One,One
1184926,Capital One Auto Finance Trust 2002-B,Capital One Auto Finance Trust 2002-B,One
1233345,Capital One Auto Finance Trust 2003-A,Capital One Auto Finance Trust 2003-A,One
1269212,Capital One Auto Finance Trust 2003-B,Capital One Auto Finance Trust 2003-B,One
1289860,Capital One Auto Finance Trust 2004-A,Capital One Auto Finance Trust 2004-A,One
1304428,Capital One Auto Finance Trust 2004-B,Capital One Auto Finance Trust 2004-B,One
1356879,Capital One Auto Finance Trust 2006-A,Capital One Auto Finance Trust 2006-A,One
1369043,Capital One Auto Finance Trust 2006-B,Capital One Auto Finance Trust 2006-B,One
1379210,Capital One Auto Finance Trust 2006-C,Capital One Auto Finance Trust 2006-C,One
1386808,Capital One Auto Finance Trust 2007-A,Capital One Auto Finance Trust 2007-A,One
1397330,Capital One Auto Finance Trust 2007-B,Capital One Auto Finance Trust 2007-B,One
1410017,Capital One Auto Finance Trust 2007-C,Capital One Auto Finance Trust 2007-C,One
1133438,Capital One Auto Receivables Llc,Capital One Auto Receivables,One
927628,Capital One Financial Corp,Capital One Financial,One
1162387,"Capital One Funding, Llc","Capital One Funding,",One
922869,Capital One Master Trust,Capital One Master,One
1163321,Capital One Multi Asset Execution Trust,Capital One Multi Asset Execution,One
1263069,Capital One Prime Auto Receivables Trust 2003-2,Capital One Prime Auto Receivables Trust 2003-2,One
1276916,Capital One Prime Auto Receivables Trust 2004-1,Capital One Prime Auto Receivables Trust 2004-1,One
1296950,Capital One Prime Auto Receivables Trust 2004-2,Capital One Prime Auto Receivables Trust 2004-2,One
1310275,Capital One Prime Auto Receivables Trust 2004-3,Capital One Prime Auto Receivables Trust 2004-3,One
1350380,Capital One Prime Auto Receivables Trust 2006-1,Capital One Prime Auto Receivables Trust 2006-1,One
1373809,Capital One Prime Auto Receivables Trust 2006-2,Capital One Prime Auto Receivables Trust 2006-2,One
1402314,Capital One Prime Auto Receivables Trust 2007-1,Capital One Prime Auto Receivables Trust 2007-1,One
1412589,Capital One Prime Auto Receivables Trust 2007-2,Capital One Prime Auto Receivables Trust 2007-2,One
1766004,Capital One Prime Auto Receivables Trust 2019-1,Capital One Prime Auto Receivables Trust 2019-1,One
1786041,Capital One Prime Auto Receivables Trust 2019-2,Capital One Prime Auto Receivables Trust 2019-2,One
1799766,Capital One Prime Auto Receivables Trust 2020-1,Capital One Prime Auto Receivables Trust 2020-1,One
1885053,Capital One Prime Auto Receivables Trust 2021-1,Capital One Prime Auto Receivables Trust 2021-1,One
1924168,Capital One Prime Auto Receivables Trust 2022-1,Capital One Prime Auto Receivables Trust 2022-1,One
1936748,Capital One Prime Auto Receivables Trust 2022-2,Capital One Prime Auto Receivables Trust 2022-2,One
